district,date,rainfall_mm,rainfall_normal_mm,tmax
Rampur,2024-06-17,6.0,6.0,38.5
Rampur,2024-06-18,21.4,6.0,37.6
Rampur,2024-06-19,1.8,6.0,36.3
Rampur,2024-06-20,2.1,6.0,38.2
Rampur,2024-06-21,8.3,6.0,39.4
Rampur,2024-06-22,1.9,6.0,40.3
Rampur,2024-06-23,0.8,6.0,39.6
Rampur,2024-06-24,4.8,6.0,38.7
Rampur,2024-06-25,3.2,6.0,41.0
Rampur,2024-06-26,6.7,6.0,38.2
Rampur,2024-06-27,9.6,6.0,40.3
Rampur,2024-06-28,0.5,6.0,38.3
Rampur,2024-06-29,4.1,6.0,40.5
Rampur,2024-06-30,0.2,6.0,37.5
Rampur,2024-07-01,6.0,10.5,34.8
Rampur,2024-07-02,0.4,10.5,32.9
Rampur,2024-07-03,0.5,10.5,31.5
Rampur,2024-07-04,3.4,10.5,34.0
Rampur,2024-07-05,0.0,10.5,31.3
Rampur,2024-07-06,0.0,10.5,31.1
Rampur,2024-07-07,3.8,10.5,32.4
Rampur,2024-07-08,20.3,10.5,34.8
Rampur,2024-07-09,2.5,10.5,31.5
Rampur,2024-07-10,2.3,10.5,34.2
Rampur,2024-07-11,0.4,10.5,33.7
Rampur,2024-07-12,1.4,10.5,32.7
Rampur,2024-07-13,1.9,10.5,30.4
Rampur,2024-07-14,10.0,10.5,34.9
Rampur,2024-07-15,9.1,10.5,33.2
Rampur,2024-07-16,21.3,10.5,33.8
Rampur,2024-07-17,16.0,10.5,33.0
Rampur,2024-07-18,28.6,10.5,36.3
Rampur,2024-07-19,50.4,10.5,31.5
Rampur,2024-07-20,3.6,10.5,33.7
Rampur,2024-07-21,2.2,10.5,34.2
Rampur,2024-07-22,1.6,10.5,35.7
Rampur,2024-07-23,14.3,10.5,33.4
Rampur,2024-07-24,9.2,10.5,33.3
Rampur,2024-07-25,12.4,10.5,33.1
Rampur,2024-07-26,0.1,10.5,33.0
Rampur,2024-07-27,25.7,10.5,32.7
Rampur,2024-07-28,10.0,10.5,31.8
Rampur,2024-07-29,9.2,10.5,33.6
Rampur,2024-07-30,19.9,10.5,34.6
Rampur,2024-07-31,2.4,10.5,33.1
Rampur,2024-08-01,8.8,9.5,32.6
Rampur,2024-08-02,10.7,9.5,33.8
Rampur,2024-08-03,13.8,9.5,31.5
Rampur,2024-08-04,6.5,9.5,31.1
Rampur,2024-08-05,6.7,9.5,31.0
Rampur,2024-08-06,22.4,9.5,32.4
Rampur,2024-08-07,1.3,9.5,31.2
Rampur,2024-08-08,1.8,9.5,32.5
Rampur,2024-08-09,1.9,9.5,29.0
Rampur,2024-08-10,21.3,9.5,31.8
Rampur,2024-08-11,13.1,9.5,32.6
Rampur,2024-08-12,7.8,9.5,31.4
Rampur,2024-08-13,20.2,9.5,31.5
Rampur,2024-08-14,1.9,9.5,31.5
Rampur,2024-08-15,12.2,9.5,32.2
Rampur,2024-08-16,3.3,9.5,33.4
Rampur,2024-08-17,4.6,9.5,31.4
Rampur,2024-08-18,5.6,9.5,32.0
Rampur,2024-08-19,4.4,9.5,32.5
Rampur,2024-08-20,11.0,9.5,33.1
Rampur,2024-08-21,2.3,9.5,31.9
Rampur,2024-08-22,21.6,9.5,33.3
Rampur,2024-08-23,1.7,9.5,31.1
Rampur,2024-08-24,5.9,9.5,32.1
Rampur,2024-08-25,6.2,9.5,32.0
Rampur,2024-08-26,2.9,9.5,32.0
Rampur,2024-08-27,23.7,9.5,30.3
Rampur,2024-08-28,1.2,9.5,31.3
Rampur,2024-08-29,0.8,9.5,30.7
Rampur,2024-08-30,7.1,9.5,32.1
Rampur,2024-08-31,1.4,9.5,30.9
Rampur,2024-09-01,7.4,5.5,30.5
Rampur,2024-09-02,2.6,5.5,32.8
Rampur,2024-09-03,1.1,5.5,36.3
Rampur,2024-09-04,13.4,5.5,33.1
Rampur,2024-09-05,10.9,5.5,33.6
Rampur,2024-09-06,3.1,5.5,34.6
Rampur,2024-09-07,11.1,5.5,31.5
Rampur,2024-09-08,4.0,5.5,30.0
Rampur,2024-09-09,0.8,5.5,33.2
Rampur,2024-09-10,8.5,5.5,36.0
Rampur,2024-09-11,4.0,5.5,32.6
Rampur,2024-09-12,18.6,5.5,35.6
Rampur,2024-09-13,0.8,5.5,31.2
Rampur,2024-09-14,1.4,5.5,34.4
Rampur,2024-09-15,14.8,5.5,33.8
Rampur,2024-09-16,3.2,5.5,32.4
Rampur,2024-09-17,1.0,5.5,30.2
Rampur,2024-09-18,0.8,5.5,31.1
Rampur,2024-09-19,0.2,5.5,32.2
Rampur,2024-09-20,5.3,5.5,33.7
Rampur,2024-09-21,1.1,5.5,31.4
Rampur,2024-09-22,5.5,5.5,30.8
Rampur,2024-09-23,1.6,5.5,34.5
Rampur,2024-09-24,0.6,5.5,32.8
Rampur,2024-09-25,2.5,5.5,31.4
Rampur,2024-09-26,7.2,5.5,32.3
Rampur,2024-09-27,4.9,5.5,33.4
Rampur,2024-09-28,6.2,5.5,34.0
Rampur,2024-09-29,3.1,5.5,32.5
Rampur,2024-09-30,5.9,5.5,35.4
Rampur,2024-10-01,0.7,1.8,32.8
Rampur,2024-10-02,1.4,1.8,33.2
Rampur,2024-10-03,4.6,1.8,32.9
Rampur,2024-10-04,0.7,1.8,34.0
Rampur,2024-10-05,0.2,1.8,34.1
Rampur,2024-10-06,1.9,1.8,33.6
Rampur,2024-10-07,0.6,1.8,32.2
Rampur,2024-10-08,3.8,1.8,31.4
Rampur,2024-10-09,0.2,1.8,32.5
Rampur,2024-10-10,0.5,1.8,33.5
Rampur,2024-10-11,0.3,1.8,29.6
Rampur,2024-10-12,6.1,1.8,33.1
Rampur,2024-10-13,1.7,1.8,34.9
Rampur,2024-10-14,0.8,1.8,33.8
Rampur,2024-10-15,0.8,1.8,34.6
Rampur,2024-10-16,1.0,1.8,34.1
Rampur,2024-10-17,0.6,1.8,34.1
Rampur,2024-10-18,1.8,1.8,31.6
Rampur,2024-10-19,4.8,1.8,31.5
Rampur,2024-10-20,7.8,1.8,32.7
Rampur,2024-10-21,2.6,1.8,30.8
Rampur,2024-10-22,0.4,1.8,33.7
Rampur,2024-10-23,0.5,1.8,32.8
Rampur,2024-10-24,0.4,1.8,34.8
Rampur,2024-10-25,0.7,1.8,35.3
Rampur,2024-10-26,0.2,1.8,31.2
Rampur,2024-10-27,0.8,1.8,35.1
Rampur,2024-10-28,1.7,1.8,35.3
Rampur,2024-10-29,0.1,1.8,33.7
Rampur,2024-10-30,0.5,1.8,32.3
Rampur,2024-10-31,0.2,1.8,34.0
Rampur,2024-11-01,0.3,0.5,29.0
Rampur,2024-11-02,0.6,0.5,28.0
Rampur,2024-11-03,4.6,0.5,31.5
Rampur,2024-11-04,0.7,0.5,31.0
Rampur,2024-11-05,0.3,0.5,30.0
Rampur,2024-11-06,0.6,0.5,30.1
Rampur,2024-11-07,0.9,0.5,31.1
Rampur,2024-11-08,0.2,0.5,28.6
Rampur,2024-11-09,0.3,0.5,29.2
Rampur,2024-11-10,1.1,0.5,28.4
Rampur,2024-11-11,0.4,0.5,29.7
Rampur,2024-11-12,0.0,0.5,28.6
Rampur,2024-11-13,0.0,0.5,31.8
Rampur,2024-11-14,0.1,0.5,25.6
Rampur,2024-11-15,0.9,0.5,27.9
Rampur,2024-11-16,0.0,0.5,31.1
Rampur,2024-11-17,0.1,0.5,28.9
Rampur,2024-11-18,0.7,0.5,25.3
Rampur,2024-11-19,0.1,0.5,29.0
Rampur,2024-11-20,0.1,0.5,30.6
Rampur,2024-11-21,0.2,0.5,28.1
Rampur,2024-11-22,0.3,0.5,29.0
Rampur,2024-11-23,2.1,0.5,26.7
Rampur,2024-11-24,0.1,0.5,28.6
Rampur,2024-11-25,0.7,0.5,27.6
Rampur,2024-11-26,0.9,0.5,28.3
Rampur,2024-11-27,0.0,0.5,25.9
Rampur,2024-11-28,0.1,0.5,28.9
Rampur,2024-11-29,0.9,0.5,29.2
Rampur,2024-11-30,0.1,0.5,26.9
Rampur,2024-12-01,0.2,0.3,27.0
Rampur,2024-12-02,0.0,0.3,25.5
Rampur,2024-12-03,0.3,0.3,25.8
Rampur,2024-12-04,0.2,0.3,25.6
Rampur,2024-12-05,0.0,0.3,29.1
Rampur,2024-12-06,0.1,0.3,28.4
Rampur,2024-12-07,0.0,0.3,25.2
Rampur,2024-12-08,0.0,0.3,25.0
Rampur,2024-12-09,0.1,0.3,24.6
Rampur,2024-12-10,0.1,0.3,27.4
Rampur,2024-12-11,0.1,0.3,24.9
Rampur,2024-12-12,0.0,0.3,23.1
Rampur,2024-12-13,0.3,0.3,28.1
Rampur,2024-12-14,0.4,0.3,26.7
Rampur,2024-12-15,0.1,0.3,25.1
Rampur,2024-12-16,0.3,0.3,25.1
Rampur,2024-12-17,1.3,0.3,26.1
Rampur,2024-12-18,0.1,0.3,26.0
Rampur,2024-12-19,0.1,0.3,28.5
Rampur,2024-12-20,0.6,0.3,28.7
Rampur,2024-12-21,0.1,0.3,26.1
Rampur,2024-12-22,0.9,0.3,25.7
Rampur,2024-12-23,0.1,0.3,28.4
Rampur,2024-12-24,0.2,0.3,24.8
Rampur,2024-12-25,0.1,0.3,25.9
Rampur,2024-12-26,0.0,0.3,27.6
Rampur,2024-12-27,0.1,0.3,25.3
Rampur,2024-12-28,0.4,0.3,24.7
Rampur,2024-12-29,0.9,0.3,26.9
Rampur,2024-12-30,0.0,0.3,25.4
Rampur,2024-12-31,0.8,0.3,26.0
Rampur,2025-01-01,0.0,0.4,26.6
Rampur,2025-01-02,0.0,0.4,22.5
Rampur,2025-01-03,0.3,0.4,26.1
Rampur,2025-01-04,0.6,0.4,26.0
Rampur,2025-01-05,0.2,0.4,26.3
Rampur,2025-01-06,0.1,0.4,22.6
Rampur,2025-01-07,0.3,0.4,23.5
Rampur,2025-01-08,0.8,0.4,24.5
Rampur,2025-01-09,0.9,0.4,21.9
Rampur,2025-01-10,0.7,0.4,25.6
Rampur,2025-01-11,1.8,0.4,28.0
Rampur,2025-01-12,0.2,0.4,24.1
Rampur,2025-01-13,0.7,0.4,26.6
Rampur,2025-01-14,0.1,0.4,25.7
Rampur,2025-01-15,0.3,0.4,27.9
Rampur,2025-01-16,0.1,0.4,26.0
Rampur,2025-01-17,0.4,0.4,27.5
Rampur,2025-01-18,0.3,0.4,25.8
Rampur,2025-01-19,0.1,0.4,24.3
Rampur,2025-01-20,1.3,0.4,26.7
Rampur,2025-01-21,0.4,0.4,25.7
Rampur,2025-01-22,0.2,0.4,26.7
Rampur,2025-01-23,0.3,0.4,24.8
Rampur,2025-01-24,0.1,0.4,25.6
Rampur,2025-01-25,1.2,0.4,26.6
Rampur,2025-01-26,0.8,0.4,25.4
Rampur,2025-01-27,1.1,0.4,25.6
Rampur,2025-01-28,0.2,0.4,23.2
Rampur,2025-01-29,0.1,0.4,26.6
Rampur,2025-01-30,1.5,0.4,28.0
Rampur,2025-01-31,0.5,0.4,27.3
Rampur,2025-02-01,0.6,0.3,29.0
Rampur,2025-02-02,0.5,0.3,29.3
Rampur,2025-02-03,0.7,0.3,31.0
Rampur,2025-02-04,0.2,0.3,28.7
Rampur,2025-02-05,0.1,0.3,31.0
Rampur,2025-02-06,0.0,0.3,27.5
Rampur,2025-02-07,0.9,0.3,28.1
Rampur,2025-02-08,0.0,0.3,32.0
Rampur,2025-02-09,0.1,0.3,29.9
Rampur,2025-02-10,1.3,0.3,28.5
Rampur,2025-02-11,0.0,0.3,28.1
Rampur,2025-02-12,0.2,0.3,30.0
Rampur,2025-02-13,0.3,0.3,28.3
Rampur,2025-02-14,0.3,0.3,31.0
Rampur,2025-02-15,0.1,0.3,32.6
Rampur,2025-02-16,0.2,0.3,29.0
Rampur,2025-02-17,0.5,0.3,29.6
Rampur,2025-02-18,0.1,0.3,27.5
Rampur,2025-02-19,0.2,0.3,30.0
Rampur,2025-02-20,0.0,0.3,27.5
Rampur,2025-02-21,0.0,0.3,29.4
Rampur,2025-02-22,0.2,0.3,24.3
Rampur,2025-02-23,0.2,0.3,27.9
Rampur,2025-02-24,0.0,0.3,31.3
Rampur,2025-02-25,0.3,0.3,32.7
Rampur,2025-02-26,0.2,0.3,28.1
Rampur,2025-02-27,0.0,0.3,28.8
Rampur,2025-02-28,0.5,0.3,28.8
Rampur,2025-03-01,1.0,0.5,36.9
Rampur,2025-03-02,0.5,0.5,32.8
Rampur,2025-03-03,0.2,0.5,35.6
Rampur,2025-03-04,0.3,0.5,31.8
Rampur,2025-03-05,0.1,0.5,34.2
Rampur,2025-03-06,0.1,0.5,30.4
Rampur,2025-03-07,1.2,0.5,37.4
Rampur,2025-03-08,1.7,0.5,36.7
Rampur,2025-03-09,0.2,0.5,34.2
Rampur,2025-03-10,0.7,0.5,32.7
Rampur,2025-03-11,0.2,0.5,34.5
Rampur,2025-03-12,0.1,0.5,34.0
Rampur,2025-03-13,0.4,0.5,33.4
Rampur,2025-03-14,0.3,0.5,32.2
Rampur,2025-03-15,0.9,0.5,33.1
Rampur,2025-03-16,0.1,0.5,34.5
Rampur,2025-03-17,0.3,0.5,30.6
Rampur,2025-03-18,0.7,0.5,34.2
Rampur,2025-03-19,0.1,0.5,35.4
Rampur,2025-03-20,0.2,0.5,34.3
Rampur,2025-03-21,1.5,0.5,33.5
Rampur,2025-03-22,1.1,0.5,33.7
Rampur,2025-03-23,0.8,0.5,35.9
Rampur,2025-03-24,0.0,0.5,35.0
Rampur,2025-03-25,0.2,0.5,35.6
Rampur,2025-03-26,1.0,0.5,32.5
Rampur,2025-03-27,0.8,0.5,32.5
Rampur,2025-03-28,1.1,0.5,35.3
Rampur,2025-03-29,0.2,0.5,36.2
Rampur,2025-03-30,1.5,0.5,32.7
Rampur,2025-03-31,0.2,0.5,31.5
Rampur,2025-04-01,0.0,0.7,38.4
Rampur,2025-04-02,1.3,0.7,37.8
Rampur,2025-04-03,0.1,0.7,38.8
Rampur,2025-04-04,1.9,0.7,37.7
Rampur,2025-04-05,1.2,0.7,38.0
Rampur,2025-04-06,2.6,0.7,40.2
Rampur,2025-04-07,0.4,0.7,38.6
Rampur,2025-04-08,1.1,0.7,36.7
Rampur,2025-04-09,0.6,0.7,40.9
Rampur,2025-04-10,0.5,0.7,37.9
Rampur,2025-04-11,0.3,0.7,35.2
Rampur,2025-04-12,0.1,0.7,38.3
Rampur,2025-04-13,0.4,0.7,38.7
Rampur,2025-04-14,0.8,0.7,39.7
Rampur,2025-04-15,0.3,0.7,38.9
Rampur,2025-04-16,0.1,0.7,36.7
Rampur,2025-04-17,0.1,0.7,39.8
Rampur,2025-04-18,1.2,0.7,38.4
Rampur,2025-04-19,0.2,0.7,38.9
Rampur,2025-04-20,0.1,0.7,39.9
Rampur,2025-04-21,0.2,0.7,39.5
Rampur,2025-04-22,0.0,0.7,39.1
Rampur,2025-04-23,1.1,0.7,39.3
Rampur,2025-04-24,1.4,0.7,41.5
Rampur,2025-04-25,0.0,0.7,37.0
Rampur,2025-04-26,0.7,0.7,39.0
Rampur,2025-04-27,1.1,0.7,36.2
Rampur,2025-04-28,0.4,0.7,38.7
Rampur,2025-04-29,1.0,0.7,35.1
Rampur,2025-04-30,0.1,0.7,39.1
Rampur,2025-05-01,0.8,1.2,41.7
Rampur,2025-05-02,1.9,1.2,44.0
Rampur,2025-05-03,1.6,1.2,41.6
Rampur,2025-05-04,0.2,1.2,39.2
Rampur,2025-05-05,1.6,1.2,45.8
Rampur,2025-05-06,0.5,1.2,44.9
Rampur,2025-05-07,6.0,1.2,42.4
Rampur,2025-05-08,2.7,1.2,40.9
Rampur,2025-05-09,0.5,1.2,42.2
Rampur,2025-05-10,0.4,1.2,39.4
Rampur,2025-05-11,1.1,1.2,40.8
Rampur,2025-05-12,0.0,1.2,40.4
Rampur,2025-05-13,1.0,1.2,41.0
Rampur,2025-05-14,0.5,1.2,42.4
Rampur,2025-05-15,0.6,1.2,41.1
Rampur,2025-05-16,1.7,1.2,39.8
Rampur,2025-05-17,1.7,1.2,40.0
Rampur,2025-05-18,0.9,1.2,45.8
Rampur,2025-05-19,4.3,1.2,42.2
Rampur,2025-05-20,1.7,1.2,45.0
Rampur,2025-05-21,0.7,1.2,43.6
Rampur,2025-05-22,2.8,1.2,38.4
Rampur,2025-05-23,1.0,1.2,40.4
Rampur,2025-05-24,3.0,1.2,41.2
Rampur,2025-05-25,0.2,1.2,43.7
Rampur,2025-05-26,0.1,1.2,41.2
Rampur,2025-05-27,1.8,1.2,41.9
Rampur,2025-05-28,1.2,1.2,39.7
Rampur,2025-05-29,0.7,1.2,39.8
Rampur,2025-05-30,0.2,1.2,42.2
Rampur,2025-05-31,0.2,1.2,42.8
Rampur,2025-06-01,2.2,6.0,37.8
Rampur,2025-06-02,0.4,6.0,38.2
Rampur,2025-06-03,1.3,6.0,38.0
Rampur,2025-06-04,1.9,6.0,40.8
Rampur,2025-06-05,4.7,6.0,42.6
Rampur,2025-06-06,5.8,6.0,37.1
Rampur,2025-06-07,6.7,6.0,37.3
Rampur,2025-06-08,3.3,6.0,37.1
Rampur,2025-06-09,1.3,6.0,43.5
Rampur,2025-06-10,1.4,6.0,38.3
Rampur,2025-06-11,8.8,6.0,41.7
Rampur,2025-06-12,5.7,6.0,36.8
Rampur,2025-06-13,4.3,6.0,41.3
Rampur,2025-06-14,0.4,6.0,35.1
Rampur,2025-06-15,16.6,6.0,40.9
Rampur,2025-06-16,22.0,6.0,39.5
Rampur,2025-06-17,1.3,6.0,39.0
Rampur,2025-06-18,3.2,6.0,36.0
Rampur,2025-06-19,0.1,6.0,38.8
Rampur,2025-06-20,18.7,6.0,38.9
Rampur,2025-06-21,2.1,6.0,38.3
Rampur,2025-06-22,8.7,6.0,39.8
Rampur,2025-06-23,3.9,6.0,40.5
Rampur,2025-06-24,1.8,6.0,39.3
Rampur,2025-06-25,5.1,6.0,38.6
Rampur,2025-06-26,12.5,6.0,41.0
Rampur,2025-06-27,4.3,6.0,40.1
Rampur,2025-06-28,3.2,6.0,37.6
Rampur,2025-06-29,15.3,6.0,39.1
Rampur,2025-06-30,2.1,6.0,39.9
Rampur,2025-07-01,7.0,10.5,32.6
Rampur,2025-07-02,14.8,10.5,32.1
Rampur,2025-07-03,1.2,10.5,30.6
Rampur,2025-07-04,5.8,10.5,33.1
Rampur,2025-07-05,8.2,10.5,34.1
Rampur,2025-07-06,1.7,10.5,32.5
Rampur,2025-07-07,0.6,10.5,31.9
Rampur,2025-07-08,0.2,10.5,33.6
Rampur,2025-07-09,9.6,10.5,31.3
Rampur,2025-07-10,0.6,10.5,33.5
Rampur,2025-07-11,0.1,10.5,34.1
Rampur,2025-07-12,8.1,10.5,34.4
Rampur,2025-07-13,11.2,10.5,31.1
Rampur,2025-07-14,35.7,10.5,34.2
Rampur,2025-07-15,6.4,10.5,30.4
Rampur,2025-07-16,0.4,10.5,32.3
Rampur,2025-07-17,0.1,10.5,33.4
Rampur,2025-07-18,9.7,10.5,30.5
Rampur,2025-07-19,13.2,10.5,31.7
Rampur,2025-07-20,9.5,10.5,32.6
Rampur,2025-07-21,2.3,10.5,33.7
Rampur,2025-07-22,1.7,10.5,32.1
Rampur,2025-07-23,2.0,10.5,32.8
Rampur,2025-07-24,29.6,10.5,33.1
Rampur,2025-07-25,15.5,10.5,33.7
Rampur,2025-07-26,41.8,10.5,33.9
Rampur,2025-07-27,21.0,10.5,28.1
Rampur,2025-07-28,5.2,10.5,32.5
Rampur,2025-07-29,14.4,10.5,34.6
Rampur,2025-07-30,20.9,10.5,32.9
Rampur,2025-07-31,3.5,10.5,31.4
Rampur,2025-08-01,4.0,9.5,29.2
Rampur,2025-08-02,5.6,9.5,34.1
Rampur,2025-08-03,2.0,9.5,31.9
