enterprise_id,month,p10,p50,p90
16,2026-12,-18544,24254,125837
17,2026-07,-63406,-26663,23144
17,2026-08,18037,79852,93111
17,2026-09,27239,80023,98847
17,2026-10,-47519,25997,68492
17,2026-11,-33589,-26017,73304
17,2026-12,29184,93331,140572
18,2026-07,40852,108205,126284
18,2026-08,-51379,29691,102946
18,2026-09,-72487,-3555,96911
18,2026-10,22307,118142,133119
18,2026-11,23313,114481,158491
18,2026-12,-53562,-16385,57684
19,2026-07,49919,159406,181348
19,2026-08,-52476,83007,149458
19,2026-09,-83119,44104,142959
19,2026-10,19253,127196,137930
19,2026-11,26236,126791,155310
19,2026-12,-55618,-21390,55754
20,2026-07,-5257,84107,148983
20,2026-08,-53500,80314,172478
20,2026-09,13770,165304,167308
20,2026-10,16751,128593,142962
20,2026-11,-47708,13579,75870
20,2026-12,-35066,125469,178672
21,2026-07,40629,70452,92963
21,2026-08,-49327,25395,84966
21,2026-09,-46585,6697,84219
21,2026-10,21818,66778,89831
21,2026-11,23362,92527,116315
21,2026-12,-46237,-27787,53025
22,2026-07,39218,67674,67674
22,2026-08,22869,99031,99031
22,2026-09,-57107,-13332,62571
22,2026-10,-45342,33492,67117
22,2026-11,24760,82888,122203
22,2026-12,35598,87780,95058
23,2026-07,37453,152305,166695
23,2026-08,16811,102805,133165
23,2026-09,-71178,12102,91021
23,2026-10,-4070,94807,139926
23,2026-11,32491,121495,164803
23,2026-12,34445,120638,146392
24,2026-07,-82815,-65616,46627
24,2026-08,-35463,98104,151795
24,2026-09,38865,164800,164800
24,2026-10,25799,127969,139491
24,2026-11,-94162,-60679,31034
24,2026-12,35550,128927,163744
25,2026-07,-40755,21544,97969
25,2026-08,14171,59787,89183
25,2026-09,11574,52007,80667
25,2026-10,-45089,17988,61208
25,2026-11,25314,99915,116420
25,2026-12,43969,85173,96133
26,2026-07,16687,69544,71661
26,2026-08,-19854,12931,70217
26,2026-09,-18905,57900,92092
26,2026-10,20463,62808,78778
26,2026-11,16994,85397,115276
26,2026-12,3445,37457,97702
27,2026-07,15694,23139,25807
27,2026-08,15870,31616,38612
27,2026-09,7662,30784,39806
27,2026-10,6922,43893,57992
27,2026-11,13979,46084,56560
27,2026-12,23537,44567,49232
28,2026-07,13491,31401,31401
28,2026-08,22789,41392,47444
28,2026-09,16468,47950,49631
28,2026-10,24391,58380,64404
28,2026-11,25109,49547,61363
28,2026-12,24910,42171,51223
29,2026-07,16322,26280,26677
29,2026-08,14936,35419,40022
29,2026-09,6625,34554,42915
29,2026-10,11113,49807,61606
29,2026-11,12022,46152,58458
29,2026-12,24319,46204,55673
30,2026-07,8463,12272,13820
30,2026-08,6898,15934,20730
30,2026-09,12511,19131,23028
30,2026-10,19944,30964,34179
30,2026-11,18187,31068,33089
30,2026-12,20068,25770,28578
31,2026-07,14359,18179,19705
31,2026-08,7857,22841,26932
31,2026-09,9095,30046,31610
31,2026-10,22112,45945,45945
31,2026-11,25931,39525,41236
31,2026-12,20575,31680,34043
32,2026-07,14651,18308,19419
32,2026-08,12337,25949,27086
32,2026-09,14640,28244,31200
32,2026-10,16143,41589,45574
32,2026-11,13205,40400,42021
32,2026-12,17579,34462,37819
33,2026-07,15044,18208,20000
33,2026-08,12034,24835,29580
33,2026-09,13189,28647,33168
33,2026-10,14933,44261,47906
33,2026-11,19925,42441,47091
33,2026-12,26724,38943,42168
34,2026-07,16244,27315,28752
34,2026-08,17188,39347,43886
34,2026-09,15510,42938,49488
34,2026-10,28983,53839,63718
34,2026-11,20951,46991,64115
34,2026-12,30548,53005,59384
35,2026-07,18002,29180,29180
35,2026-08,17058,40671,45204
35,2026-09,6806,40648,47068
35,2026-10,21712,54824,63975
35,2026-11,13652,48116,62344
35,2026-12,25617,47254,57576
36,2026-07,15411,28169,28747
36,2026-08,23039,41042,49684
36,2026-09,11607,46881,49425
36,2026-10,28161,57050,68129
36,2026-11,13161,43624,62989
36,2026-12,27270,46604,58880
37,2026-07,12419,12933,15664
37,2026-08,5566,16431,20425
37,2026-09,12892,25050,26693
37,2026-10,20883,36685,36685
37,2026-11,26047,29772,37072
37,2026-12,20481,26612,33697
38,2026-07,13814,21384,22656
38,2026-08,16165,31334,38356
38,2026-09,6458,29299,38325
38,2026-10,15504,46331,58131
38,2026-11,15150,45750,55866
38,2026-12,24309,43494,51353
39,2026-07,19651,26428,26428
39,2026-08,11637,33054,35084
39,2026-09,19547,35389,42813
39,2026-10,30219,56372,63811
39,2026-11,32339,60772,61671
39,2026-12,32604,48006,54781
40,2026-07,18880,29320,34105
40,2026-08,17122,28810,42778
40,2026-09,18036,40219,48331
40,2026-10,27264,55382,60252
40,2026-11,29298,49835,58405
40,2026-12,34349,41788,60257
41,2026-07,13870,15468,34105
41,2026-08,16555,28798,41980
41,2026-09,20791,27628,50249
41,2026-10,14865,31661,54163
41,2026-11,14816,36231,53121
41,2026-12,28415,34007,53839
42,2026-07,8350,22649,33001
42,2026-08,15369,25141,38629
42,2026-09,23468,39967,59278
42,2026-10,16947,35582,60759
42,2026-11,10247,35698,62887
42,2026-12,31314,38267,66760
43,2026-07,8842,16034,26585
43,2026-08,11255,21959,31371
43,2026-09,11255,20680,39506
43,2026-10,13823,35993,47129
43,2026-11,10743,25039,39407
43,2026-12,14445,25079,49431
44,2026-07,21405,30864,34737
44,2026-08,16108,30075,50903
44,2026-09,10452,33493,55164
44,2026-10,24605,51306,65844
44,2026-11,21657,47951,85770
44,2026-12,25327,42530,75566
45,2026-07,12751,28122,54334
45,2026-08,15214,30238,53599
45,2026-09,26094,54357,84660
45,2026-10,21090,59179,75928
45,2026-11,20383,77549,106393
45,2026-12,25141,54723,98463
46,2026-07,13654,26440,38291
46,2026-08,18267,32748,44620
46,2026-09,17576,41685,67818
46,2026-10,13589,42738,62552
46,2026-11,16576,37243,87267
46,2026-12,13709,33325,60748
47,2026-07,12588,12599,22063
47,2026-08,10200,18688,24102
47,2026-09,9409,18792,30526
47,2026-10,16239,27038,34349
47,2026-11,12050,24823,30363
47,2026-12,16222,27306,29747
48,2026-07,13367,22459,34063
48,2026-08,18092,24276,36545
48,2026-09,18628,39239,52101
48,2026-10,15938,37073,53739
48,2026-11,20572,36653,51736
48,2026-12,15869,30184,52524
49,2026-07,11511,19855,34267
49,2026-08,8697,23290,34081
49,2026-09,24326,34756,50984
49,2026-10,15977,27348,54167
49,2026-11,15737,32109,55999
49,2026-12,25235,39209,56790
50,2026-07,14214,20988,41260
50,2026-08,15929,34795,56533
50,2026-09,24767,51298,67996
50,2026-10,23842,54455,86893
50,2026-11,19353,41534,79615
50,2026-12,19374,43075,71328
51,2026-07,14119,27686,35381
51,2026-08,21138,31614,45327
51,2026-09,19555,44045,69752
51,2026-10,24097,45733,54903
51,2026-11,24006,67416,105464
51,2026-12,31719,42873,73724
52,2026-07,14866,22683,33878
52,2026-08,18840,30714,49108
52,2026-09,18575,38525,64645
52,2026-10,21173,49709,56060
52,2026-11,20785,74596,103056
52,2026-12,32342,46613,73952
53,2026-07,9104,9104,12837
53,2026-08,5176,7835,14968
53,2026-09,-14731,13352,17603
53,2026-10,-5447,18716,26411
53,2026-11,6395,23056,24129
53,2026-12,11385,21064,23927
54,2026-07,9315,9315,13365
54,2026-08,5231,7379,14535
54,2026-09,-12322,12898,17002
54,2026-10,-983,17177,26153
54,2026-11,8912,23623,24468
54,2026-12,6480,19094,22792
55,2026-07,12009,12342,18755
55,2026-08,10968,10968,19158
55,2026-09,-14132,21151,26683
55,2026-10,-768,26726,39802
55,2026-11,-417,30333,33491
55,2026-12,335,26806,31302
56,2026-07,4982,15755,21779
56,2026-08,2594,16875,28352
56,2026-09,-4564,24745,43763
56,2026-10,-13159,36647,51444
56,2026-11,-18086,39020,43848
56,2026-12,-5570,39656,42465
57,2026-07,12010,19699,26764
57,2026-08,16727,35477,36891
57,2026-09,-6966,42320,47486
57,2026-10,-14794,45770,61828
57,2026-11,-6824,47883,59266
57,2026-12,-1368,47498,53796
58,2026-07,12526,12712,17266
58,2026-08,10910,13255,19647
58,2026-09,-8483,28552,28552
58,2026-10,3012,20536,44165
58,2026-11,17863,37627,38715
58,2026-12,16774,32268,34662
59,2026-07,-32598,-19683,21627
59,2026-08,5493,30629,35977
59,2026-09,-3427,34261,45922
59,2026-10,-7628,35520,64645
59,2026-11,-12011,33210,58848
59,2026-12,5350,50936,52095
60,2026-07,16333,20308,27165
60,2026-08,18492,35496,35496
60,2026-09,213,39520,48365
60,2026-10,-16335,44575,56870
60,2026-11,-12427,46801,53282
60,2026-12,-4507,45184,48337
61,2026-07,9171,11357,19501
61,2026-08,13278,13460,22594
61,2026-09,-22097,20681,32503
61,2026-10,-1960,33981,46611
61,2026-11,-8244,38888,40011
61,2026-12,-3597,29674,34459
62,2026-07,15819,15819,21620
62,2026-08,17053,18278,25584
62,2026-09,-7063,25093,39094
62,2026-10,-9757,37575,50499
62,2026-11,-22167,40814,40814
62,2026-12,-11187,37636,40697
63,2026-07,9521,11226,15627
63,2026-08,6376,9463,19702
63,2026-09,-19736,14704,23129
63,2026-10,4843,26046,32745
63,2026-11,12418,24956,28835
63,2026-12,10335,22161,27506
64,2026-07,-30298,-12461,17428
64,2026-08,-958,16347,25699
64,2026-09,-14722,31182,34137
64,2026-10,1269,34641,46529
64,2026-11,-7846,29346,38761
64,2026-12,-1812,30613,36515
