enterprise_id,date,txn_count,value_index,inflow_outflow,payer_diversity
1,2024-03-13,9,0.397,0.4,0.243
1,2024-03-14,7,0.455,0.464,0.213
1,2024-03-15,14,0.368,0.403,0.264
1,2024-03-16,9,0.348,0.374,0.217
1,2024-03-17,12,0.32,0.393,0.185
1,2024-03-18,6,0.373,0.39,0.226
1,2024-03-19,4,0.246,0.312,0.175
1,2024-03-20,9,0.457,0.445,0.265
1,2024-03-21,6,0.383,0.392,0.257
1,2024-03-22,13,0.459,0.492,0.374
1,2024-03-23,6,0.519,0.549,0.338
1,2024-03-24,7,0.398,0.376,0.185
1,2024-03-25,7,0.508,0.496,0.311
1,2024-03-26,15,0.441,0.441,0.278
1,2024-03-27,5,0.338,0.37,0.197
1,2024-03-28,6,0.349,0.347,0.189
1,2024-03-29,11,0.456,0.484,0.273
1,2024-03-30,5,0.435,0.451,0.184
1,2024-03-31,7,0.313,0.365,0.153
1,2024-04-01,7,0.361,0.347,0.204
1,2024-04-02,8,0.327,0.331,0.213
1,2024-04-03,6,0.492,0.411,0.198
1,2024-04-04,14,0.467,0.437,0.254
1,2024-04-05,7,0.378,0.394,0.249
1,2024-04-06,8,0.304,0.29,0.197
1,2024-04-07,7,0.358,0.393,0.212
1,2024-04-08,7,0.382,0.389,0.218
1,2024-04-09,5,0.301,0.337,0.22
1,2024-04-10,9,0.557,0.524,0.253
1,2024-04-11,15,0.565,0.533,0.325
1,2024-04-12,18,0.377,0.503,0.389
1,2024-04-13,16,0.664,0.646,0.397
1,2024-04-14,8,0.556,0.515,0.293
1,2024-04-15,14,0.567,0.582,0.395
1,2024-04-16,13,0.476,0.516,0.296
1,2024-04-17,14,0.525,0.482,0.285
1,2024-04-18,11,0.495,0.547,0.305
1,2024-04-19,11,0.596,0.619,0.307
1,2024-04-20,9,0.549,0.587,0.335
1,2024-04-21,12,0.48,0.45,0.212
1,2024-04-22,12,0.477,0.5,0.308
1,2024-04-23,10,0.474,0.534,0.442
1,2024-04-24,9,0.475,0.556,0.366
1,2024-04-25,15,0.457,0.558,0.338
1,2024-04-26,7,0.567,0.538,0.262
1,2024-04-27,14,0.424,0.409,0.216
1,2024-04-28,15,0.478,0.585,0.339
1,2024-04-29,9,0.53,0.618,0.316
1,2024-04-30,9,0.479,0.519,0.358
1,2024-05-01,15,0.836,0.791,0.461
1,2024-05-02,23,0.617,0.792,0.281
1,2024-05-03,18,0.739,0.687,0.412
1,2024-05-04,16,0.76,0.702,0.314
1,2024-05-05,13,0.65,0.707,0.428
1,2024-05-06,13,0.64,0.755,0.411
1,2024-05-07,16,0.664,0.743,0.431
1,2024-05-08,19,0.703,0.723,0.44
1,2024-05-09,15,0.7,0.625,0.315
1,2024-05-10,15,0.725,0.766,0.423
1,2024-05-11,12,0.739,0.798,0.357
1,2024-05-12,8,0.641,0.71,0.439
1,2024-05-13,9,0.499,0.531,0.289
1,2024-05-14,12,0.622,0.757,0.552
1,2024-05-15,23,0.725,0.681,0.368
1,2024-05-16,18,0.767,0.734,0.37
1,2024-05-17,13,0.668,0.635,0.313
1,2024-05-18,12,0.646,0.626,0.357
1,2024-05-19,14,0.762,0.799,0.504
1,2024-05-20,16,0.731,0.758,0.335
1,2024-05-21,11,0.787,0.825,0.473
1,2024-05-22,25,0.805,0.88,0.528
1,2024-05-23,15,0.827,0.817,0.458
1,2024-05-24,19,0.651,0.74,0.489
1,2024-05-25,17,0.676,0.727,0.419
1,2024-05-26,28,0.927,0.84,0.402
1,2024-05-27,10,0.687,0.744,0.521
1,2024-05-28,19,0.825,0.866,0.548
1,2024-05-29,22,0.76,0.751,0.561
1,2024-05-30,14,0.727,0.714,0.509
1,2024-05-31,17,0.85,0.827,0.493
1,2024-06-01,16,0.601,0.746,0.4
1,2024-06-02,20,0.865,0.848,0.438
1,2024-06-03,11,0.512,0.615,0.381
1,2024-06-04,11,0.753,0.801,0.482
1,2024-06-05,14,0.582,0.653,0.369
1,2024-06-06,16,0.79,0.863,0.517
1,2024-06-07,23,0.648,0.741,0.518
1,2024-06-08,12,0.63,0.638,0.29
1,2024-06-09,17,0.781,0.814,0.46
1,2024-06-10,11,0.714,0.766,0.369
1,2024-06-11,21,0.859,0.887,0.547
1,2024-06-12,15,0.867,0.887,0.441
1,2024-06-13,20,0.896,0.936,0.433
1,2024-06-14,17,0.775,0.919,0.587
1,2024-06-15,16,0.871,0.957,0.583
1,2024-06-16,19,1.049,0.988,0.411
1,2024-06-17,13,0.908,0.901,0.435
1,2024-06-18,17,0.849,0.949,0.491
1,2024-06-19,22,0.804,0.768,0.474
1,2024-06-20,21,0.701,0.873,0.61
1,2024-06-21,19,0.841,0.9,0.457
1,2024-06-22,26,0.967,0.893,0.591
1,2024-06-23,16,0.864,1.026,0.511
1,2024-06-24,14,0.809,0.806,0.499
1,2024-06-25,21,0.719,0.896,0.499
1,2024-06-26,13,0.63,0.758,0.354
1,2024-06-27,10,0.791,0.934,0.569
1,2024-06-28,20,0.768,0.884,0.512
1,2024-06-29,16,0.834,0.855,0.44
1,2024-06-30,15,0.864,0.845,0.478
1,2024-07-01,22,0.946,0.93,0.453
1,2024-07-02,19,0.877,0.877,0.608
1,2024-07-03,17,0.823,0.871,0.713
1,2024-07-04,21,1.023,1.044,0.648
1,2024-07-05,27,1.051,1.104,0.624
1,2024-07-06,20,0.996,1.115,0.531
1,2024-07-07,21,0.918,0.908,0.402
1,2024-07-08,16,0.854,0.904,0.557
1,2024-07-09,19,1.082,0.973,0.601
1,2024-07-10,17,1.009,0.964,0.57
1,2024-07-11,24,0.823,0.961,0.596
1,2024-07-12,20,1.04,1.0,0.83
1,2024-07-13,25,0.879,0.99,0.523
1,2024-07-14,26,0.85,1.022,0.672
1,2024-07-15,16,0.738,0.778,0.547
1,2024-07-16,20,0.854,0.986,0.65
1,2024-07-17,18,0.825,0.825,0.567
1,2024-07-18,24,0.98,1.074,0.687
1,2024-07-19,17,0.912,1.068,0.462
1,2024-07-20,21,1.08,1.094,0.706
1,2024-07-21,15,0.845,0.894,0.596
1,2024-07-22,18,0.963,1.035,0.717
1,2024-07-23,19,1.005,1.137,0.765
1,2024-07-24,23,0.914,0.964,0.67
1,2024-07-25,26,1.05,1.084,0.561
1,2024-07-26,21,0.954,1.036,0.611
1,2024-07-27,13,1.014,1.035,0.603
1,2024-07-28,15,0.887,0.924,0.559
1,2024-07-29,18,0.857,0.775,0.461
1,2024-07-30,22,1.273,1.157,0.576
1,2024-07-31,18,1.123,1.078,0.576
1,2024-08-01,24,0.966,1.11,0.695
1,2024-08-02,20,1.173,1.04,0.686
1,2024-08-03,20,0.847,0.832,0.505
1,2024-08-04,23,0.973,1.082,0.508
1,2024-08-05,14,0.671,0.804,0.366
1,2024-08-06,24,1.034,1.038,0.53
1,2024-08-07,17,0.841,0.912,0.379
1,2024-08-08,24,1.255,1.121,0.52
1,2024-08-09,16,1.2,1.081,0.733
1,2024-08-10,24,1.204,1.028,0.526
1,2024-08-11,15,0.796,0.89,0.658
1,2024-08-12,28,1.028,1.139,0.722
1,2024-08-13,28,1.229,1.222,0.558
1,2024-08-14,31,1.109,1.088,0.566
1,2024-08-15,29,1.121,1.097,0.681
1,2024-08-16,36,1.074,1.177,0.724
1,2024-08-17,14,0.836,0.909,0.507
1,2024-08-18,11,0.86,0.946,0.601
1,2024-08-19,18,0.856,0.926,0.486
1,2024-08-20,21,0.989,1.193,0.836
1,2024-08-21,29,1.124,1.147,0.685
1,2024-08-22,26,1.223,1.165,0.711
1,2024-08-23,20,0.775,1.034,0.545
1,2024-08-24,11,0.974,0.997,0.607
1,2024-08-25,22,1.116,1.193,0.921
1,2024-08-26,28,1.07,1.139,0.615
1,2024-08-27,31,0.969,1.105,0.403
1,2024-08-28,12,0.98,1.044,0.587
1,2024-08-29,24,1.035,1.084,0.711
1,2024-08-30,19,0.938,0.825,0.496
1,2024-08-31,13,0.994,1.053,0.674
1,2024-09-01,25,1.124,1.107,0.689
1,2024-09-02,21,1.168,1.194,0.804
1,2024-09-03,24,1.159,1.154,0.751
1,2024-09-04,21,0.926,1.139,0.655
1,2024-09-05,28,1.198,1.134,0.631
1,2024-09-06,23,1.379,1.346,0.59
1,2024-09-07,20,0.974,1.035,0.535
1,2024-09-08,21,0.98,0.964,0.72
1,2024-09-09,9,0.922,0.926,0.701
1,2024-09-10,23,1.093,1.18,0.598
1,2024-09-11,25,1.161,1.241,0.792
1,2024-09-12,26,1.169,1.183,0.787
1,2024-09-13,19,0.813,1.079,0.669
1,2024-09-14,24,1.224,1.239,0.865
1,2024-09-15,23,0.947,1.145,0.69
1,2024-09-16,24,1.214,1.277,0.802
1,2024-09-17,27,1.022,1.147,0.632
1,2024-09-18,24,1.07,1.118,0.878
1,2024-09-19,17,1.077,1.059,0.705
1,2024-09-20,25,0.969,0.986,0.378
1,2024-09-21,16,1.166,1.076,0.714
1,2024-09-22,25,1.209,1.161,0.627
1,2024-09-23,26,0.95,1.243,0.763
1,2024-09-24,23,1.093,1.078,0.627
1,2024-09-25,22,1.27,1.245,0.636
1,2024-09-26,34,1.171,1.22,0.787
1,2024-09-27,21,1.108,1.11,0.744
1,2024-09-28,30,1.084,1.266,0.827
1,2024-09-29,20,1.109,1.132,0.854
1,2024-09-30,14,0.95,0.996,0.616
1,2024-10-01,25,1.267,1.31,0.77
1,2024-10-02,33,1.383,1.309,0.721
1,2024-10-03,26,1.178,1.185,0.489
1,2024-10-04,26,1.005,1.154,0.821
1,2024-10-05,27,1.175,1.26,0.856
1,2024-10-06,24,1.21,1.116,0.767
1,2024-10-07,8,1.012,1.038,0.706
1,2024-10-08,25,1.18,1.175,0.567
1,2024-10-09,28,1.376,1.301,0.517
1,2024-10-10,25,0.934,1.118,0.772
1,2024-10-11,23,1.087,1.159,0.869
1,2024-10-12,35,1.015,1.24,0.818
1,2024-10-13,29,1.081,1.127,0.641
1,2024-10-14,17,1.063,1.101,0.504
1,2024-10-15,24,1.204,1.211,0.572
1,2024-10-16,29,1.477,1.195,0.681
1,2024-10-17,31,1.102,1.362,0.757
1,2024-10-18,22,1.222,1.177,0.571
1,2024-10-19,31,1.142,1.293,0.788
1,2024-10-20,23,1.191,1.269,0.857
1,2024-10-21,26,1.567,1.438,0.67
1,2024-10-22,44,1.355,1.37,0.95
1,2024-10-23,33,1.281,1.341,0.752
1,2024-10-24,41,1.369,1.46,0.649
1,2024-10-25,24,1.303,1.267,0.927
1,2024-10-26,25,1.232,1.287,0.825
1,2024-10-27,26,1.07,1.11,0.592
1,2024-10-28,25,1.091,0.955,0.641
1,2024-10-29,27,1.31,1.206,0.58
1,2024-10-30,44,1.371,1.321,0.755
1,2024-10-31,25,1.046,1.283,0.875
1,2024-11-01,13,1.1,1.05,0.679
1,2024-11-02,24,1.164,1.397,0.637
1,2024-11-03,24,1.089,1.16,0.873
1,2024-11-04,24,0.923,1.134,0.636
1,2024-11-05,19,1.217,1.41,0.645
1,2024-11-06,23,0.84,1.146,0.62
1,2024-11-07,28,1.124,1.324,0.748
1,2024-11-08,27,1.261,1.476,0.825
1,2024-11-09,29,1.308,1.308,0.669
1,2024-11-10,35,1.28,1.34,0.848
1,2024-11-11,30,1.465,1.617,0.769
1,2024-11-12,33,1.515,1.383,1.0
1,2024-11-13,28,1.325,1.26,0.688
1,2024-11-14,35,1.472,1.446,0.87
1,2024-11-15,18,1.23,1.298,0.621
1,2024-11-16,23,1.437,1.413,0.782
1,2024-11-17,33,1.402,1.34,0.794
1,2024-11-18,19,1.111,1.162,0.644
1,2024-11-19,35,1.136,1.382,0.83
1,2024-11-20,32,1.17,1.285,0.83
1,2024-11-21,23,1.457,1.259,0.628
1,2024-11-22,20,0.816,1.072,0.515
1,2024-11-23,24,0.994,1.312,0.899
1,2024-11-24,24,1.038,1.126,0.732
1,2024-11-25,20,1.408,1.534,0.775
1,2024-11-26,41,1.467,1.423,0.857
1,2024-11-27,24,1.256,1.267,0.97
1,2024-11-28,23,1.261,1.385,0.843
1,2024-11-29,23,1.301,1.323,0.474
1,2024-11-30,39,1.198,1.368,0.795
1,2024-12-01,36,1.297,1.529,0.811
1,2024-12-02,28,1.406,1.455,0.497
1,2024-12-03,42,1.526,1.564,0.884
1,2024-12-04,40,1.33,1.359,1.0
1,2024-12-05,23,1.305,1.372,0.735
1,2024-12-06,27,1.434,1.456,0.824
1,2024-12-07,30,1.363,1.414,0.904
1,2024-12-08,33,1.209,1.425,0.746
1,2024-12-09,28,1.193,1.341,0.606
1,2024-12-10,31,1.398,1.371,0.781
1,2024-12-11,29,1.156,1.309,0.555
1,2024-12-12,35,1.202,1.267,0.777
1,2024-12-13,17,1.486,1.369,0.649
1,2024-12-14,30,1.363,1.344,0.585
1,2024-12-15,25,1.602,1.432,0.813
1,2024-12-16,26,1.397,1.33,0.67
1,2024-12-17,32,1.246,1.275,0.916
1,2024-12-18,32,1.196,1.301,0.981
1,2024-12-19,31,1.686,1.624,0.962
1,2024-12-20,21,1.294,1.22,0.707
1,2024-12-21,21,1.18,1.208,0.735
1,2024-12-22,25,1.386,1.5,0.974
1,2024-12-23,27,1.191,1.226,0.6
1,2024-12-24,20,1.248,1.438,0.872
1,2024-12-25,33,1.612,1.586,0.886
1,2024-12-26,33,1.285,1.427,1.0
1,2024-12-27,26,1.444,1.478,0.808
1,2024-12-28,28,1.585,1.338,0.776
1,2024-12-29,28,1.281,1.285,0.656
1,2024-12-30,29,1.199,1.264,0.672
1,2024-12-31,28,1.123,1.237,0.635
1,2025-01-01,27,1.217,1.355,0.99
1,2025-01-02,38,1.446,1.452,0.782
1,2025-01-03,24,1.222,1.558,0.823
1,2025-01-04,35,1.271,1.275,0.637
1,2025-01-05,26,1.901,1.617,0.812
1,2025-01-06,18,1.165,1.183,0.703
1,2025-01-07,25,1.245,1.168,0.697
1,2025-01-08,38,1.281,1.313,0.417
1,2025-01-09,33,1.403,1.506,0.827
1,2025-01-10,26,1.219,1.324,0.634
1,2025-01-11,38,1.158,1.261,0.665
1,2025-01-12,19,1.246,1.25,0.71
1,2025-01-13,33,1.402,1.416,0.829
1,2025-01-14,13,0.888,1.052,0.692
1,2025-01-15,27,1.521,1.569,0.777
1,2025-01-16,20,1.712,1.349,0.732
1,2025-01-17,29,1.366,1.421,0.813
1,2025-01-18,29,1.348,1.279,0.654
1,2025-01-19,37,1.378,1.435,0.831
1,2025-01-20,28,1.196,1.27,0.891
1,2025-01-21,22,1.089,1.221,0.726
1,2025-01-22,37,1.395,1.287,0.802
1,2025-01-23,33,1.275,1.49,0.761
1,2025-01-24,32,1.273,1.295,0.724
1,2025-01-25,22,1.377,1.412,0.689
1,2025-01-26,22,1.355,1.533,0.878
1,2025-01-27,27,1.37,1.556,0.698
1,2025-01-28,29,1.306,1.452,0.881
1,2025-01-29,33,1.361,1.338,0.852
1,2025-01-30,29,1.423,1.325,0.777
1,2025-01-31,12,0.997,1.118,0.473
1,2025-02-01,29,1.359,1.372,0.854
1,2025-02-02,33,1.535,1.448,1.0
1,2025-02-03,31,1.32,1.468,0.701
1,2025-02-04,21,1.303,1.177,0.647
1,2025-02-05,25,1.507,1.368,0.637
1,2025-02-06,20,1.216,1.432,0.59
1,2025-02-07,29,1.693,1.543,0.575
1,2025-02-08,18,1.353,1.111,0.728
1,2025-02-09,27,0.972,1.295,0.745
1,2025-02-10,37,1.291,1.41,0.705
1,2025-02-11,25,1.086,1.252,0.682
1,2025-02-12,26,1.31,1.181,0.566
1,2025-02-13,27,1.424,1.45,0.812
1,2025-02-14,21,1.022,1.051,0.567
1,2025-02-15,39,1.426,1.54,0.545
1,2025-02-16,38,1.423,1.391,0.795
1,2025-02-17,30,1.363,1.512,0.792
1,2025-02-18,26,1.009,1.265,0.855
1,2025-02-19,28,1.232,1.25,0.752
1,2025-02-20,34,1.309,1.281,0.617
1,2025-02-21,27,0.962,1.054,0.517
1,2025-02-22,24,1.166,1.359,0.564
1,2025-02-23,38,1.418,1.555,0.976
1,2025-02-24,26,1.08,1.149,0.661
1,2025-02-25,27,1.486,1.346,0.982
1,2025-02-26,21,1.052,1.169,0.649
1,2025-02-27,20,1.082,1.334,0.769
1,2025-02-28,19,1.263,1.465,0.946
1,2025-03-01,13,0.949,1.033,0.478
1,2025-03-02,27,0.937,1.178,0.83
1,2025-03-03,25,1.019,1.302,0.629
1,2025-03-04,25,1.16,1.238,0.775
1,2025-03-05,22,1.158,1.259,0.695
1,2025-03-06,31,1.287,1.295,1.0
1,2025-03-07,21,0.984,1.048,0.558
1,2025-03-08,26,1.381,1.385,0.483
1,2025-03-09,27,1.179,1.231,0.587
1,2025-03-10,23,1.074,1.16,0.503
1,2025-03-11,23,0.929,0.877,0.54
1,2025-03-12,14,1.097,1.065,0.52
1,2025-03-13,20,0.999,1.08,0.615
1,2025-03-14,21,1.014,0.941,0.482
1,2025-03-15,29,1.099,1.267,0.825
1,2025-03-16,28,1.016,1.154,0.497
1,2025-03-17,21,0.98,0.954,0.59
1,2025-03-18,20,1.087,1.218,0.806
1,2025-03-19,11,1.14,1.082,0.616
1,2025-03-20,16,0.88,1.062,0.752
1,2025-03-21,34,1.085,1.12,0.594
1,2025-03-22,27,1.005,1.174,0.89
1,2025-03-23,31,1.323,1.26,0.764
1,2025-03-24,24,1.155,1.147,0.667
1,2025-03-25,23,1.091,0.995,0.319
1,2025-03-26,13,1.022,1.056,0.489
1,2025-03-27,31,1.161,0.955,0.558
1,2025-03-28,20,1.127,1.074,0.637
1,2025-03-29,11,1.248,1.119,0.667
1,2025-03-30,31,0.868,1.077,0.668
1,2025-03-31,20,0.795,0.907,0.494
1,2025-04-01,15,0.868,0.877,0.606
1,2025-04-02,20,1.071,0.978,0.494
1,2025-04-03,23,0.824,0.867,0.539
1,2025-04-04,23,0.774,0.89,0.56
1,2025-04-05,21,0.937,0.991,0.555
1,2025-04-06,15,0.897,0.9,0.448
1,2025-04-07,20,0.876,0.972,0.519
1,2025-04-08,24,1.09,1.107,0.424
1,2025-04-09,22,0.946,0.92,0.358
1,2025-04-10,23,0.823,0.849,0.449
1,2025-04-11,15,0.765,0.806,0.308
1,2025-04-12,21,0.845,1.01,0.564
1,2025-04-13,11,1.005,0.982,0.585
1,2025-04-14,22,1.0,0.992,0.468
1,2025-04-15,19,0.636,0.919,0.533
1,2025-04-16,14,0.72,0.788,0.446
1,2025-04-17,20,0.665,0.813,0.418
1,2025-04-18,15,0.847,0.936,0.428
1,2025-04-19,14,0.893,0.835,0.657
1,2025-04-20,19,0.829,0.873,0.403
1,2025-04-21,22,0.67,0.76,0.453
1,2025-04-22,22,0.968,0.856,0.617
1,2025-04-23,20,0.792,0.828,0.469
1,2025-04-24,24,0.89,0.826,0.506
1,2025-04-25,18,1.05,1.01,0.494
1,2025-04-26,9,0.732,0.758,0.507
1,2025-04-27,19,0.774,0.912,0.501
1,2025-04-28,20,0.914,0.953,0.699
1,2025-04-29,21,0.796,0.862,0.425
1,2025-04-30,19,0.668,0.739,0.503
1,2025-05-01,17,0.748,0.703,0.564
1,2025-05-02,19,0.875,0.842,0.576
1,2025-05-03,14,0.871,0.78,0.426
1,2025-05-04,13,0.891,0.791,0.388
1,2025-05-05,20,0.689,0.816,0.475
1,2025-05-06,11,0.905,0.913,0.627
1,2025-05-07,16,0.78,0.841,0.414
1,2025-05-08,20,0.647,0.716,0.441
1,2025-05-09,14,0.93,0.861,0.622
1,2025-05-10,15,0.854,0.866,0.408
1,2025-05-11,19,0.876,0.904,0.382
1,2025-05-12,12,0.764,0.829,0.483
1,2025-05-13,11,0.705,0.671,0.437
1,2025-05-14,14,0.631,0.729,0.365
1,2025-05-15,18,0.666,0.792,0.52
1,2025-05-16,22,1.189,1.016,0.564
1,2025-05-17,25,0.904,0.858,0.529
1,2025-05-18,22,0.817,0.936,0.563
1,2025-05-19,17,0.853,1.007,0.389
1,2025-05-20,8,0.608,0.747,0.364
1,2025-05-21,14,0.748,0.83,0.481
1,2025-05-22,19,0.894,0.925,0.564
1,2025-05-23,20,0.806,0.911,0.531
1,2025-05-24,18,0.827,0.796,0.515
1,2025-05-25,22,0.68,0.857,0.425
1,2025-05-26,22,0.751,0.761,0.376
1,2025-05-27,19,0.843,0.886,0.45
1,2025-05-28,18,0.935,0.979,0.551
1,2025-05-29,18,0.745,0.796,0.496
1,2025-05-30,18,0.825,0.943,0.55
1,2025-05-31,16,0.773,0.856,0.507
1,2025-06-01,21,0.828,0.825,0.47
1,2025-06-02,13,0.747,0.873,0.488
1,2025-06-03,11,0.583,0.706,0.451
1,2025-06-04,10,0.76,0.848,0.648
1,2025-06-05,14,0.804,0.907,0.582
1,2025-06-06,28,1.17,1.146,0.579
1,2025-06-07,26,0.921,1.024,0.605
1,2025-06-08,22,0.891,0.891,0.591
1,2025-06-09,13,1.212,1.051,0.798
1,2025-06-10,18,1.071,1.118,0.604
1,2025-06-11,25,1.227,1.118,0.764
1,2025-06-12,17,1.154,1.213,0.67
1,2025-06-13,17,0.818,0.853,0.376
1,2025-06-14,17,0.954,0.962,0.529
1,2025-06-15,11,1.184,1.035,0.629
1,2025-06-16,17,0.774,0.909,0.444
1,2025-06-17,16,0.946,0.971,0.536
1,2025-06-18,19,0.878,1.06,0.354
1,2025-06-19,26,1.026,0.983,0.551
1,2025-06-20,21,0.941,0.949,0.566
1,2025-06-21,17,1.011,1.04,0.599
1,2025-06-22,18,1.037,0.944,0.533
1,2025-06-23,20,0.846,0.914,0.571
1,2025-06-24,21,0.867,1.031,0.412
1,2025-06-25,18,0.984,1.004,0.638
1,2025-06-26,23,1.156,1.181,0.823
1,2025-06-27,25,1.086,1.18,0.737
1,2025-06-28,20,1.068,1.082,0.522
1,2025-06-29,14,0.882,0.948,0.599
1,2025-06-30,24,0.782,0.948,0.671
1,2025-07-01,23,1.487,1.296,0.726
1,2025-07-02,29,1.091,1.235,0.579
1,2025-07-03,20,0.91,1.065,0.647
1,2025-07-04,22,0.862,1.0,0.589
1,2025-07-05,38,1.074,1.16,0.683
1,2025-07-06,19,0.889,0.962,0.57
1,2025-07-07,17,0.931,1.018,0.715
1,2025-07-08,29,0.92,1.065,0.496
1,2025-07-09,25,0.895,0.921,0.676
1,2025-07-10,16,0.718,0.908,0.537
1,2025-07-11,21,1.107,1.003,0.595
1,2025-07-12,25,1.247,1.236,0.767
1,2025-07-13,19,1.276,1.206,0.725
1,2025-07-14,18,1.177,1.2,0.778
1,2025-07-15,28,1.212,1.133,0.718
1,2025-07-16,18,1.098,1.098,0.436
1,2025-07-17,27,1.289,1.165,0.69
1,2025-07-18,21,1.128,1.128,0.624
1,2025-07-19,23,1.357,1.204,0.666
1,2025-07-20,25,0.997,1.152,0.716
1,2025-07-21,22,0.97,1.083,0.81
1,2025-07-22,23,1.427,1.227,0.666
1,2025-07-23,33,1.059,1.231,0.583
1,2025-07-24,17,0.793,1.039,0.452
1,2025-07-25,31,1.229,1.221,0.752
1,2025-07-26,17,1.092,1.097,0.594
1,2025-07-27,25,0.919,0.941,0.555
1,2025-07-28,7,0.883,0.992,0.623
1,2025-07-29,13,1.191,1.172,0.774
1,2025-07-30,17,0.678,0.884,0.63
1,2025-07-31,22,1.089,0.944,0.553
1,2025-08-01,24,0.937,0.965,0.768
1,2025-08-02,33,1.078,1.202,0.736
1,2025-08-03,21,1.314,1.252,0.885
1,2025-08-04,29,1.261,1.305,0.704
1,2025-08-05,22,1.146,1.188,0.646
1,2025-08-06,18,1.257,1.156,0.808
1,2025-08-07,24,0.941,1.078,0.647
1,2025-08-08,17,1.026,1.139,0.807
1,2025-08-09,35,1.31,1.223,0.665
1,2025-08-10,25,1.039,1.129,0.686
1,2025-08-11,33,1.048,1.154,0.699
1,2025-08-12,27,1.378,1.196,0.739
1,2025-08-13,21,1.148,1.219,0.649
1,2025-08-14,28,0.871,1.036,0.699
1,2025-08-15,16,1.059,1.153,0.875
1,2025-08-16,27,1.11,1.115,0.448
1,2025-08-17,24,1.101,1.212,0.759
1,2025-08-18,23,0.881,1.114,0.776
1,2025-08-19,34,1.235,1.416,1.0
1,2025-08-20,18,0.961,1.005,0.692
1,2025-08-21,27,1.196,1.162,0.573
1,2025-08-22,22,0.988,1.116,0.657
1,2025-08-23,31,1.134,1.28,0.962
1,2025-08-24,18,1.106,1.295,0.803
1,2025-08-25,26,1.376,1.303,0.755
1,2025-08-26,16,1.088,1.221,0.434
1,2025-08-27,29,1.36,1.347,1.0
